word,count
ill,411
accidentally,106
keep,894
realizing,11
bc,36
complaints,233
refuse,10
talk,282
unless,209
high,1109
described,177
awesome,2906
son,242
our,241
kid,26
fun,30
pairs,272
earphones,2469
crisp,255
adroid,1
airpod,199
husband,191
excited,137
receive,146
wears,24
junk,67
absolute,76
worst,771
sent,465
nd,70
ae,2
dollars,71
offer,162
made,809
workout,337
easier,192
stay,1258
nicely,204
shipping,146
everyone,216
person,415
smaller,236
falling,343
comparison,69
any,2117
others,409
calling,233
offbrand,2
ish,5
read,404
directions,365
print,17
minuscule,3
lightgray,1
typeface,1
werent,95
google,106
backdecided,1
suck,51
throw,65
down,759
cash,15
plus,416
discounted,14
glad,307
synced,42
w,50
breeze,79
tips,409
internet,15
callers,43
irk,1
downtown,3
loud,774
noisy,86
street,47
prob,8
ask,115
siri,114
turn,554
volume,1654
does,1160
arrived,275
impressive,226
admit,45
wasnt,435
fan,165
countless,18
house,207
has,2407
complete,117
broke,282
clear,1561
happy,1477
phones,568
fussing,6
cords,90
yanked,6
easily,945
double,123
stop,343
fit,3320
fall,889
ok,992
penny,153
cancellation,1432
usually,344
orders,7
packaging,458
big,670
hair,78
faulty,122
replacement,959
careful,219
we,606
own,367
manufacturers,36
bed,65
sooner,36
two,1186
thumbs,46
advertised,309
protects,118
place,591
reasonably,55
boom,30
think,926
needed,470
live,152
decisions,6
believed,9
title,19
misleading,24
actually,637
kinda,101
pissed,11
guess,214
saved,108
mislead,5
reported,23
said,467
dirty,47
performance,341
audiophile,130
beat,219
walking,328
due,406
based,158
controls,258
unfamiliar,3
audiobooks,48
found,733
light,522
exactly,354
fashion,10
statement,4
joke,33
protuberances,1
older,68
guy,54
looks,667
hearing,253
aids,18
melting,1
yeah,42
dropped,317
signal,259
excellently,7
designed,108
wonderful,281
morning,102
driving,140
shopping,38
deal,578
leave,227
home,270
recommended,411
super,1078
truely,10
recently,188
start,372
noticed,238
lates,1
inside,281
instead,254
feeling,120
itself,377
may,593
anyways,34
contacting,26
planning,38
beware,61
poor,1064
returned,335
plug,205
wall,31
believe,269
come,829
sure,1077
felt,203
worsened,1
week,685
personal,87
doing,390
activities,74
excellent,2326
simple,414
functionality,108
hold,493
bf,5
lost,363
him,101
christmas,58
year,628
seem,453
track,103
device,1043
uphold,2
alot,74
tend,118
silence,7
playing,322
chic,2
unknown,14
advantage,22
water,508
proof,183
recharge,199
oh,68
gosh,2
hubby,17
mothers,4
happierpros,1
wires,402
inear,167
gives,213
headaches,6
snug,179
rarely,54
continuous,92
clarity,621
recharging,57
fully,317
pieces,302
period,126
socket,12
lightweightcons,1
shows,120
spec,13
fragment,1
wax,16
show,124
space,39
seems,779
maybe,446
nonstop,18
higher,196
lose,261
die,106
connected,623
earbud,1434
stereo,94
cancel,157
mentioning,7
drown,31
gossiping,1
coworkers,21
airplane,30
humming,6
highway,8
tire,3
rumbling,4
youll,207
empty,41
box,779
broken,216
charged,613
bend,19
pick,168
floor,59
asking,64
reviews,985
knock,43
caved,7
amazed,78
microphone,382
static,131
clears,3
moved,58
holds,113
